timestamp,event_date,region,lag_days,ftrt
2026-07-15T12:35:50.816033+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816041+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816049+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816057+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816066+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816074+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816082+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816092+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816101+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816109+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816118+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816127+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816136+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816144+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816152+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816160+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816169+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816179+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816188+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816196+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816206+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816213+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816221+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816230+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816238+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816246+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816256+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816264+00:00,2026-07-04,14478,-7,6.998444
2026-07-15T12:35:50.816273+00:00,2026-07-04,14478,-3,0
2026-07-15T12:35:50.816281+00:00,2026-07-04,14478,-1,0
2026-07-15T12:35:50.816289+00:00,2026-07-04,14478,0,0
2026-07-15T12:35:50.816296+00:00,2026-07-04,14482,-7,6.998444
2026-07-15T12:35:50.816306+00:00,2026-07-04,14482,-3,0
2026-07-15T12:35:50.816313+00:00,2026-07-04,14482,-1,0
2026-07-15T12:35:50.816321+00:00,2026-07-04,14482,0,0
2026-07-15T12:35:50.816329+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816340+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816348+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816356+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816366+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816378+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816386+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816396+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816404+00:00,2026-07-04,14479,-7,6.998444
2026-07-15T12:35:50.816413+00:00,2026-07-04,14479,-3,0
2026-07-15T12:35:50.816421+00:00,2026-07-04,14479,-1,0
2026-07-15T12:35:50.816429+00:00,2026-07-04,14479,0,0
2026-07-15T12:35:50.816437+00:00,2026-07-05,14479,-7,7.24633
