variable,lag,pearson
energia_resonancia,-55,-0.2003816888413488
energia_resonancia,-54,-0.19976242899720362
energia_resonancia,-53,-0.1987286004145372
energia_resonancia,-52,-0.19737213889809532
energia_resonancia,-51,-0.1956335012437105
energia_resonancia,-50,-0.19352051264614367
energia_resonancia,-49,-0.19098162504882812
energia_resonancia,-48,-0.18818410539301736
energia_resonancia,-47,-0.1850264325392982
energia_resonancia,-46,-0.18157974753562395
energia_resonancia,-45,-0.17794493994156654
energia_resonancia,-44,-0.17425677407998416
energia_resonancia,-43,-0.17040964379758808
energia_resonancia,-42,-0.1664974060222082
energia_resonancia,-41,-0.1626633392538263
energia_resonancia,-40,-0.15922630825009298
energia_resonancia,-39,-0.15635737819314927
energia_resonancia,-38,-0.15416923426858245
energia_resonancia,-37,-0.15272195178929152
energia_resonancia,-36,-0.1521632009596143
energia_resonancia,-35,-0.15273962026062737
energia_resonancia,-34,-0.1544132959269543
energia_resonancia,-33,-0.15695175865496924
energia_resonancia,-32,-0.16029658513092218
energia_resonancia,-31,-0.16436439950414264
energia_resonancia,-30,-0.1689743587647101
energia_resonancia,-29,-0.17397175556432043
energia_resonancia,-28,-0.17928970082857257
energia_resonancia,-27,-0.18478766273768493
energia_resonancia,-26,-0.19020963866329169
energia_resonancia,-25,-0.19540958950499496
energia_resonancia,-24,-0.20028537552629405
energia_resonancia,-23,-0.20473636863150743
energia_resonancia,-22,-0.20868848605445228
energia_resonancia,-21,-0.21204314149130712
energia_resonancia,-20,-0.21477409390420601
energia_resonancia,-19,-0.21693625150146442
energia_resonancia,-18,-0.21856739692569838
energia_resonancia,-17,-0.21968862776526
energia_resonancia,-16,-0.22057933998456297
energia_resonancia,-15,-0.22130441034054335
energia_resonancia,-14,-0.22193891227993284
energia_resonancia,-13,-0.22244468254527922
energia_resonancia,-12,-0.22297990510819585
energia_resonancia,-11,-0.223655450137792
energia_resonancia,-10,-0.2245638229347212
energia_resonancia,-9,-0.2253914564047422
energia_resonancia,-8,-0.22624297262137516
energia_resonancia,-7,-0.22704968361777372
energia_resonancia,-6,-0.22777754489547908
energia_resonancia,-5,-0.22827081248792577
energia_resonancia,-4,-0.22859514032616385
energia_resonancia,-3,-0.22869270664275973
energia_resonancia,-2,-0.2286290918503039
energia_resonancia,-1,-0.22834943276356334
energia_resonancia,0,-0.22794620224748452
energia_resonancia,1,-0.22759642982189232
