variable,lag,pearson
coherencia_espectral,29,-0.20348529205126584
coherencia_espectral,30,-0.20762737660350372
coherencia_espectral,31,-0.21253910345452726
coherencia_espectral,32,-0.2178753634575918
coherencia_espectral,33,-0.2233498681536022
coherencia_espectral,34,-0.22881342124101248
coherencia_espectral,35,-0.23416342648386992
coherencia_espectral,36,-0.23928887723101275
coherencia_espectral,37,-0.24411530726503264
coherencia_espectral,38,-0.2485783395647889
coherencia_espectral,39,-0.2523934642204566
coherencia_espectral,40,-0.2553732245966986
coherencia_espectral,41,-0.25733283214290736
coherencia_espectral,42,-0.2581083973568479
coherencia_espectral,43,-0.2577474898272445
coherencia_espectral,44,-0.2563488972810532
coherencia_espectral,45,-0.2540270765304342
coherencia_espectral,46,-0.25086742251989663
coherencia_espectral,47,-0.24693366999811456
coherencia_espectral,48,-0.24242608753238476
coherencia_espectral,49,-0.23751191754429016
coherencia_espectral,50,-0.2323318785287006
coherencia_espectral,51,-0.22711184744357177
coherencia_espectral,52,-0.22212000491625133
coherencia_espectral,53,-0.21748124588505738
coherencia_espectral,54,-0.21328645853854886
coherencia_espectral,55,-0.20949425051611537
coherencia_espectral,56,-0.20611023403795006
coherencia_espectral,57,-0.20311498846372164
coherencia_espectral,58,-0.2005395861225491
coherencia_espectral,59,-0.19844664994165745
coherencia_espectral,60,-0.1967816735430319
coherencia_espectral,61,-0.1954322238330381
coherencia_espectral,62,-0.19437671644599572
coherencia_espectral,63,-0.19356720627176158
coherencia_espectral,64,-0.19277403393533074
coherencia_espectral,65,-0.1917673710543534
coherencia_espectral,66,-0.1904027209075939
coherencia_espectral,67,-0.18852124926863406
coherencia_espectral,68,-0.18597763456341018
coherencia_espectral,69,-0.1827561801601539
coherencia_espectral,70,-0.17906171218041733
coherencia_espectral,71,-0.1750816382610832
coherencia_espectral,72,-0.17092629351026503
coherencia_espectral,73,-0.16678989579087738
coherencia_espectral,74,-0.162973075391933
coherencia_espectral,75,-0.15973993192704228
