best_lag,windows,mean_r,first_date,last_date
-133,13,0.511840076923077,2026-07-15T23:41:21.641468+00:00,2026-07-15T23:43:30.039502+00:00
-123,13,-0.6465526153846154,2026-07-15T23:41:24.177501+00:00,2026-07-15T23:43:16.336845+00:00
-137,13,0.35683084615384614,2026-07-15T23:40:58.933700+00:00,2026-07-15T23:43:34.215386+00:00
-122,13,-0.30762753846153845,2026-07-15T23:41:13.764264+00:00,2026-07-15T23:43:33.942623+00:00
103,12,-0.47342599999999996,2026-07-15T23:41:42.924413+00:00,2026-07-15T23:42:18.671901+00:00
74,12,0.7402955833333333,2026-07-15T23:41:10.868113+00:00,2026-07-15T23:41:13.040541+00:00
137,11,-0.014820454545454543,2026-07-15T23:41:14.401342+00:00,2026-07-15T23:43:38.298377+00:00
128,11,-0.48943490909090914,2026-07-15T23:43:27.040252+00:00,2026-07-15T23:44:04.171115+00:00
113,11,-0.7065464545454545,2026-07-15T23:42:22.569512+00:00,2026-07-15T23:42:25.744484+00:00
123,11,0.20197145454545454,2026-07-15T23:41:44.648945+00:00,2026-07-15T23:43:00.192351+00:00
-124,10,-0.6373567,2026-07-15T23:41:40.929093+00:00,2026-07-15T23:43:25.591176+00:00
126,10,-0.3499458,2026-07-15T23:42:22.478873+00:00,2026-07-15T23:43:27.221988+00:00
-134,9,0.7486566666666667,2026-07-15T23:41:20.460884+00:00,2026-07-15T23:43:50.912780+00:00
-110,9,0.7030055555555556,2026-07-15T23:41:58.081778+00:00,2026-07-15T23:42:02.250907+00:00
61,9,0.522819,2026-07-15T23:41:50.992201+00:00,2026-07-15T23:41:51.716771+00:00
98,8,0.534547125,2026-07-15T23:42:08.971444+00:00,2026-07-15T23:42:09.604314+00:00
57,8,0.614868,2026-07-15T23:42:54.747632+00:00,2026-07-15T23:43:48.278203+00:00
132,8,-0.23245325,2026-07-15T23:41:15.034337+00:00,2026-07-15T23:44:08.436724+00:00
121,8,-0.805752875,2026-07-15T23:41:08.242023+00:00,2026-07-15T23:43:30.855882+00:00
-69,8,0.4866055,2026-07-15T23:41:17.928632+00:00,2026-07-15T23:43:13.703655+00:00
-71,8,0.631649875,2026-07-15T23:43:12.432606+00:00,2026-07-15T23:43:13.522264+00:00
-129,8,0.2030405,2026-07-15T23:41:21.005392+00:00,2026-07-15T23:44:15.793993+00:00
-115,8,-0.471746375,2026-07-15T23:42:09.695045+00:00,2026-07-15T23:43:37.301859+00:00
-136,8,0.684634,2026-07-15T23:41:20.642096+00:00,2026-07-15T23:43:30.220960+00:00
-126,8,-0.67639025,2026-07-15T23:41:26.805692+00:00,2026-07-15T23:42:57.921819+00:00
58,8,0.586424375,2026-07-15T23:42:53.481228+00:00,2026-07-15T23:43:47.914497+00:00
125,7,-0.08633285714285711,2026-07-15T23:42:22.388184+00:00,2026-07-15T23:43:59.905519+00:00
-64,7,-0.7372195714285714,2026-07-15T23:41:16.662093+00:00,2026-07-15T23:41:17.204483+00:00
129,7,0.6753654285714286,2026-07-15T23:41:18.653952+00:00,2026-07-15T23:43:55.455343+00:00
-101,7,-0.7359075714285714,2026-07-15T23:41:18.744439+00:00,2026-07-15T23:41:19.286957+00:00
-117,7,0.48792914285714284,2026-07-15T23:41:16.300818+00:00,2026-07-15T23:43:14.067384+00:00
76,6,0.761157,2026-07-15T23:41:10.958281+00:00,2026-07-15T23:41:11.683563+00:00
18,6,0.5571741666666666,2026-07-15T23:43:22.148807+00:00,2026-07-15T23:43:22.601525+00:00
-116,6,0.6559381666666667,2026-07-15T23:41:28.253676+00:00,2026-07-15T23:41:28.705734+00:00
-106,6,0.16624433333333336,2026-07-15T23:41:55.443006+00:00,2026-07-15T23:42:53.391115+00:00
-89,6,-0.6481856666666667,2026-07-15T23:42:44.412185+00:00,2026-07-15T23:42:44.865610+00:00
-90,6,-0.6769981666666668,2026-07-15T23:42:30.180277+00:00,2026-07-15T23:42:32.718213+00:00
-118,6,0.19364150000000002,2026-07-15T23:41:16.119404+00:00,2026-07-15T23:43:14.249222+00:00
-92,6,-0.7816826666666667,2026-07-15T23:42:30.723446+00:00,2026-07-15T23:42:31.176863+00:00
99,5,0.0937594,2026-07-15T23:42:19.215423+00:00,2026-07-15T23:43:31.219157+00:00
